Country Code,Postal Address,Postal Code,Locality

SE,Kungsgatan 5A,75316,Uppsala

SE,Kinnagatan 1,52173,Kinnarp

SE,Kinna kyrka 1,51154,Kinna

SE,Kinnarps AB,52188,Kinnarp

SE,Box 3,31405,Kinnared

SE,Kungsgatan 5B,75316,Uppsala

SE,Kungsgatan 49,11122,Stockholm

SE,Solbergavägen 2,51193,Torestorp

SE,Kungsgatan 1,11143,Stockholm

SE,Lindagatan 15,71134,Lindesberg

SE,Adelgatan 1A,22350,Lund

SE,Norrlandsgatan 13,69335,Degerfors

SE,Öxabäcksvägen 9 lgh 1001,51193,Torestorp

SE,Lindhult 5,51990,Horred

SE,Vassevägen 11,51990,Horred

SE,Vassevägen 75,51930,Horred

SE, Vassevägen 11,51930,Uppsala

SE,Vassevägen 11,51930,Horred

SE,Lindhult Höjden 5,51930,Horred

SE,Lindhult Höjden 5,51990,Uppsala

SE,Lindhult Höjden 5,51990,Horred
